UTC 2023-10-06 04:28:44.457800,In0: 5.25	 In1: 531.37	 In0_1: -0.19	 In1_1: 0.19	 FPS: 166,5.25,531.37,-0.19,0.19,166
UTC 2023-10-06 04:28:44.464533,In0: 5.06	 In1: 533.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,533.44,0.00,0.19,142
UTC 2023-10-06 04:28:44.471426,In0: 4.87	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.478236,In0: 4.87	 In1: 530.06	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,4.87,530.06,0.19,0.19,142
UTC 2023-10-06 04:28:44.484938,In0: 5.44	 In1: 532.31	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.44,532.31,0.00,-0.19,166
UTC 2023-10-06 04:28:44.491623,In0: 5.06	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.498402,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:44.505311,In0: 5.06	 In1: 533.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,533.06,-0.19,0.00,142
UTC 2023-10-06 04:28:44.511927,In0: 4.69	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.69,531.56,0.00,0.19,142
UTC 2023-10-06 04:28:44.518759,In0: 4.87	 In1: 533.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,533.44,0.00,0.19,166
UTC 2023-10-06 04:28:44.525494,In0: 5.06	 In1: 533.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.44,0.00,0.00,142
UTC 2023-10-06 04:28:44.532303,In0: 5.06	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,531.56,0.00,0.19,142
UTC 2023-10-06 04:28:44.539157,In0: 5.44	 In1: 533.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,533.06,0.00,0.00,142
UTC 2023-10-06 04:28:44.545887,In0: 4.87	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,532.87,0.00,0.00,166
UTC 2023-10-06 04:28:44.552891,In0: 4.87	 In1: 532.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.50,0.00,0.00,142
UTC 2023-10-06 04:28:44.559373,In0: 5.06	 In1: 530.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,530.62,0.00,0.00,142
UTC 2023-10-06 04:28:44.566161,In0: 4.87	 In1: 531.37	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,4.87,531.37,0.19,0.19,142
UTC 2023-10-06 04:28:44.573078,In0: 4.87	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.579735,In0: 4.87	 In1: 533.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,533.62,0.19,0.00,166
UTC 2023-10-06 04:28:44.586558,In0: 4.87	 In1: 533.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,533.06,0.00,0.00,142
UTC 2023-10-06 04:28:44.593276,In0: 4.87	 In1: 531.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,531.56,0.19,0.00,142
UTC 2023-10-06 04:28:44.600073,In0: 5.06	 In1: 532.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.50,0.00,0.00,142
UTC 2023-10-06 04:28:44.606939,In0: 5.06	 In1: 531.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,531.37,0.00,-0.19,166
UTC 2023-10-06 04:28:44.613698,In0: 4.87	 In1: 532.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.87,532.31,-0.19,0.00,166
UTC 2023-10-06 04:28:44.620590,In0: 5.06	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,533.25,0.00,0.19,142
UTC 2023-10-06 04:28:44.627221,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:44.634021,In0: 5.06	 In1: 531.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,531.94,0.19,0.00,142
UTC 2023-10-06 04:28:44.640839,In0: 5.25	 In1: 529.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,529.69,0.00,0.00,166
UTC 2023-10-06 04:28:44.647614,In0: 5.06	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.654385,In0: 5.25	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:44.661102,In0: 4.87	 In1: 532.69	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,4.87,532.69,0.19,-0.19,142
UTC 2023-10-06 04:28:44.667996,In0: 5.25	 In1: 532.50	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.25,532.50,0.19,0.19,166
