UTC 2023-10-06 04:41:25.377651,In0_1: 0.00	 In1_1: -0.19	 FPS: 142,0.00,-0.19,142
UTC 2023-10-06 04:41:25.384381,In0: 4.87	 In1: 539.62	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,4.87,539.62,0.19,0.19,142
UTC 2023-10-06 04:41:25.391305,In0: 5.06	 In1: 540.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,540.19,-0.19,0.00,142
UTC 2023-10-06 04:41:25.397970,In0: 5.06	 In1: 540.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,540.00,0.19,0.00,166
UTC 2023-10-06 04:41:25.404800,In0: 4.87	 In1: 539.06	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,4.87,539.06,-0.19,0.19,142
UTC 2023-10-06 04:41:25.411572,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:25.418328,In0: 5.06	 In1: 539.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,539.44,0.19,0.00,142
UTC 2023-10-06 04:41:25.425367,In0: 5.06	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.87,0.00,0.00,142
UTC 2023-10-06 04:41:25.431859,In0: 5.06	 In1: 540.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,540.19,-0.19,0.00,166
UTC 2023-10-06 04:41:25.438615,In0: 5.06	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.56,0.00,0.00,142
UTC 2023-10-06 04:41:25.445439,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:25.452183,In0: 4.87	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.06,0.00,0.00,142
UTC 2023-10-06 04:41:25.459374,In0: 5.06	 In1: 540.75	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.06,540.75,0.19,-0.19,166
UTC 2023-10-06 04:41:25.465809,In0: 5.25	 In1: 540.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,540.56,0.19,0.00,142
UTC 2023-10-06 04:41:25.472502,In0: 5.25	 In1: 540.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,540.94,0.00,0.00,142
