UTC 2023-10-06 06:22:41.742180,In0: 5.06	 In1: 6.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,6.94,0.19,0.00,142,PSI:1.012,PSI:1.3880000000000001,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.748987,In0: 5.25	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.19,0.00,0.00,142,PSI:1.05,PSI:1.238,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.755837,In0: 5.25	 In1: 6.37	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.25,6.37,0.37,0.00,166,PSI:1.05,PSI:1.274,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:41.762728,In0: 5.06	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.19,0.00,142,PSI:1.012,PSI:1.2,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.769381,In0: 5.25	 In1: 6.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,6.00,-0.19,0.00,142,PSI:1.05,PSI:1.2,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.776323,In0: 5.06	 In1: 5.81	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.81,0.37,0.00,142,PSI:1.012,PSI:1.162,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.782854,In0: 5.06	 In1: 7.31	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.06,7.31,0.37,0.00,166,PSI:1.012,PSI:1.462,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:41.789754,In0: 5.25	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,7.31,0.19,0.00,166,PSI:1.05,PSI:1.462,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:41.796611,In0: 5.44	 In1: 6.75	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.44,6.75,-0.19,0.00,142,PSI:1.088,PSI:1.35,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.803262,In0: 5.25	 In1: 6.94	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.25,6.94,0.19,-0.19,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:41.810145,In0: 5.25	 In1: 6.94	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,6.94,0.37,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.074,PSI:0.0,PSI:28.4
