UTC 2023-10-29 02:13:02.396989,In0: 0.00	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,-0.03,0.00,0.00,142,PSI:0.0,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.402462,In0: 0.01	 In1: 0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,-0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:-0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.408956,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.415492,In0: 0.01	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.04,0.00,0.00,166,PSI:0.002,PSI:0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.421947,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,0.01,0.00,0.00,142,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.427876,In0: 0.02	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.00,0.00,0.00,166,PSI:0.004,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.434473,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.440971,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,-0.02,0.00,0.00,125,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.447451,In0: 0.00	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.02,0.00,0.00,166,PSI:0.0,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.452947,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.459530,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.465934,In0: -0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,-0.00,0.00,0.00,142,PSI:-0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.472468,In0: 0.00	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,-0.02,0.00,0.00,166,PSI:0.0,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.478928,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.02,0.01,0.00,0.00,142,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.485493,In0: 0.00	 In1: -0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,-0.04,0.00,0.00,166,PSI:0.0,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.490956,In0: 0.03	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,-0.01,0.00,0.00,166,PSI:0.006,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.497003,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.503510,In0: -0.09	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.09,0.01,0.00,0.00,166,PSI:-0.018,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.509986,In0: 0.08	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.08,0.01,0.00,0.00,166,PSI:0.016,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.516522,In0: 0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,0.03,0.00,0.00,142,PSI:0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.523907,In0: -0.02	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.02,-0.03,0.00,0.00,125,PSI:-0.004,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.530484,In0: -0.02	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.02,0.00,0.00,166,PSI:-0.004,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.536009,In0: -0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.01,0.00,0.00,166,PSI:-0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.541529,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.548015,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.02,0.00,0.00,142,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.553883,In0: 0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.02,0.00,0.00,166,PSI:0.004,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.560757,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.01,0.00,0.00,200,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.566959,In0: 0.06	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 125,0.06,0.01,-0.00,0.00,125,PSI:0.012,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.573661,In0: -0.02	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.02,0.00,0.00,166,PSI:-0.004,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.578951,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.01,0.00,0.00,166,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.585698,In0: -0.01	 In1: 0.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.06,0.00,0.00,166,PSI:-0.002,PSI:0.012,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.591411,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.596939,In0: 0.01	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.04,0.00,0.00,166,PSI:0.002,PSI:0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.602426,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.608926,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,0.00,0.00,142,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.615528,In0: 0.01	 In1: 0.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.06,0.00,0.00,200,PSI:0.002,PSI:0.012,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.620975,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,0.01,0.00,0.00,142,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.627455,In0: -0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.00,0.00,0.00,200,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.633899,In0: 0.04	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.04,0.05,0.00,0.00,125,PSI:0.008,PSI:0.01,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.640934,In0: -0.00	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.02,0.00,0.00,166,PSI:-0.0,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.647454,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.00,0.00,0.00,142,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.653932,In0: 0.01	 In1: 0.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.06,0.00,0.00,142,PSI:0.002,PSI:0.012,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.659479,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.664931,In0: -0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.01,0.00,0.00,166,PSI:-0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.670519,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.03,0.00,0.00,200,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.677610,In0: 0.07	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.07,0.01,0.00,0.00,166,PSI:0.014000000000000002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.682945,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.689428,In0: 0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.03,0.00,0.00,166,PSI:0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.694911,In0: -0.04	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.04,0.00,0.00,0.00,166,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.701424,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
