UTC 2023-10-29 02:13:04.290336,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.291966,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.293734,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.295457,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.297135,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.298979,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.300625,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.302306,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.304022,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.305759,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.307534,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.309322,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.310955,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.312659,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.314433,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.316068,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.317816,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.319531,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.321271,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.323049,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.324863,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.326433,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.328146,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.329924,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.331610,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.333339,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.335094,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.336818,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.338515,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.340238,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.341975,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.343700,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.345463,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.347119,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.348868,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.350563,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.352299,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.354061,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.355724,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.357441,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.359196,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.360979,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.362585,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.364321,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.366088,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.367816,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.369549,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.371269,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.372985,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.374705,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.376512,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.378171,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.379806,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.381537,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.383288,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.385032,V:0.00	 Sampling FPS:580,0.00,580
