UTC 2023-10-29 02:07:09.251401,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.258457,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.01,0.05,0.00,-0.00,166,PSI:0.002,PSI:0.01,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 02:07:09.263870,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.01,0.00,0.00,142,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.270397,In0: 0.00	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,-0.01,0.00,0.00,166,PSI:0.0,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.276877,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.282408,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.00,0.00,0.00,200,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.287899,In0: 0.06	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.06,0.00,0.00,0.00,166,PSI:0.012,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.293929,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.299400,In0: 0.03	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.03,-0.03,0.00,0.00,200,PSI:0.006,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.306370,In0: -0.00	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.01,-0.00,0.00,166,PSI:-0.0,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.311877,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,0.01,0.00,0.00,142,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.317920,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.03,0.00,0.00,200,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.324367,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.02,0.00,0.00,142,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.329938,In0: 0.08	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.08,-0.00,0.00,0.00,166,PSI:0.016,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.335446,In0: -0.00	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.00,0.03,0.00,0.00,200,PSI:-0.0,PSI:0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.341931,In0: 0.05	 In1: -0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.05,-0.04,0.00,0.00,142,PSI:0.01,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:28.4
