UTC 2023-10-29 02:07:06.756456,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.758088,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:06.759741,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.761491,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.763305,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:06.764986,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.766640,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.768454,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.770121,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.771846,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.773533,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.775362,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.777016,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.778771,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.780500,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.782269,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.783939,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.785662,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.787379,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.789050,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.790864,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.792548,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.794272,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.796018,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.797734,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.799465,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.801249,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.802952,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.804662,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.806317,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.808081,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.809801,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.811522,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.813307,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.814954,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.816714,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.818520,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.820242,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.821893,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.823554,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.825267,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.827043,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.828783,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.830493,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.832244,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.833999,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.835742,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.837415,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.839141,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.840817,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.842502,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.844221,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.845950,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.847671,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.849380,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.851236,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.852918,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.854583,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.856289,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.858016,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.859727,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.861441,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.863220,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.864885,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.866766,V:0.63	 Sampling FPS:580,0.63,580
