UTC 2023-10-29 01:46:20.946674,In0: -0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.01,0.00,0.00,166,PSI:-0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:20.953712,In0: 0.03	 In1: 0.05	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.03,0.05,0.00,-0.00,166,PSI:0.006,PSI:0.01,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 01:46:20.960143,In0: 0.04	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.04,0.04,0.00,0.00,125,PSI:0.008,PSI:0.008,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:46:20.966739,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.03,0.00,0.00,166,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:20.973199,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:20.979711,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.05,0.00,0.00,166,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:20.986189,In0: 0.01	 In1: -0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.00,-0.00,0.00,142,PSI:0.002,PSI:-0.0,PSI:-0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:20.992155,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: -0.00	 FPS: 200,0.01,0.01,0.00,-0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:-0.0,PSI:40.0
UTC 2023-10-29 01:46:20.998182,In0: 0.06	 In1: 0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.06,0.00,-0.00,0.00,166,PSI:0.012,PSI:0.0,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.003728,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.009179,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
