UTC 2023-10-29 02:09:46.453611,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.455416,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.457106,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.458851,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.460632,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.462354,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.464034,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.465767,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.467464,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.469102,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.470832,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.472586,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.474370,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.476092,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.477815,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.479563,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.481264,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.482933,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.484668,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.486479,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.488173,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.489889,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.491654,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.493312,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.495126,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.496773,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.498666,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.500152,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.501965,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.503731,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.505420,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.507140,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.508896,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.510578,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.512273,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.514096,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.515666,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.517521,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.519215,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.520932,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.522682,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.524347,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.526132,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.527810,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.529552,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.531230,V:0.19	 Sampling FPS:580,0.19,580
UTC 2023-10-29 02:09:46.533065,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.534747,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.536434,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.538192,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.539892,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.541585,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.543362,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.545060,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.546778,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.548536,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.550203,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.551902,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.553681,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.555457,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.557130,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.558855,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.560615,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.562309,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.564061,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.565687,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.567539,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.569242,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.570914,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.572630,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.574399,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.576164,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.577812,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.579508,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.581319,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.582981,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.584763,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.586466,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.588230,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.589883,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.591633,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.593314,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.595001,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.596879,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.598553,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.600250,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.602002,V:0.21	 Sampling FPS:580,0.21,580
