UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:11.498199,In0: 5.25	 In1: 536.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,536.06,0.00,0.00,142
UTC 2023-10-06 04:52:11.504890,In0: 5.06	 In1: 536.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,536.25,0.00,0.19,142
UTC 2023-10-06 04:52:11.511767,In0: 5.06	 In1: 534.00	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,534.00,0.19,0.19,142
UTC 2023-10-06 04:52:11.518458,In0: 5.06	 In1: 535.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,535.87,0.19,0.00,166
UTC 2023-10-06 04:52:11.525604,In0: 4.87	 In1: 535.87	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,535.87,0.00,-0.19,142
UTC 2023-10-06 04:52:11.532070,In0: 5.25	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,534.94,0.00,0.19,142
UTC 2023-10-06 04:52:11.538787,In0: 5.44	 In1: 537.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.44,537.19,0.00,0.19,142
UTC 2023-10-06 04:52:11.545637,In0: 5.25	 In1: 535.69	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,535.69,-0.19,0.00,166
UTC 2023-10-06 04:52:11.552290,In0: 4.87	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.31,0.00,0.00,142
UTC 2023-10-06 04:52:11.559181,In0: 5.06	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,534.37,0.00,0.19,142
UTC 2023-10-06 04:52:11.565908,In0: 4.87	 In1: 536.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,536.06,-0.19,0.00,142
UTC 2023-10-06 04:52:11.572619,In0: 5.06	 In1: 534.56	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,5.06,534.56,-0.19,0.19,142
UTC 2023-10-06 04:52:11.579564,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,535.12,0.00,0.00,166
UTC 2023-10-06 04:52:11.586217,In0: 5.06	 In1: 535.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.87,0.00,0.00,142
UTC 2023-10-06 04:52:11.593167,In0: 5.25	 In1: 534.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,534.56,-0.19,0.00,142
UTC 2023-10-06 04:52:11.599817,In0: 5.06	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.31,0.00,0.00,142
UTC 2023-10-06 04:52:11.606581,In0: 5.25	 In1: 534.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,534.00,0.00,0.00,166
UTC 2023-10-06 04:52:11.613431,In0: 5.25	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,534.56,0.00,0.00,142
UTC 2023-10-06 04:52:11.620043,In0: 4.87	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.75,0.00,0.00,142
UTC 2023-10-06 04:52:11.626937,In0: 4.87	 In1: 535.12	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,535.12,0.00,-0.19,142
UTC 2023-10-06 04:52:11.633695,In0: 5.06	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.81,0.00,0.00,142
UTC 2023-10-06 04:52:11.640490,In0: 5.06	 In1: 536.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,536.06,0.00,0.00,166
UTC 2023-10-06 04:52:11.647305,In0: 5.25	 In1: 534.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.75,0.19,0.00,142
