UTC 2023-10-28 22:38:36.151360,In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.01,0.01,142,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.158070,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,0.00,-0.00,0.01,0.01,166,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.164879,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.171623,In0: -0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,0.00,0.01,0.01,142,PSI:-0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.178528,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.185268,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.192178,In0: 0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,0.00,0.00,0.01,0.01,166,PSI:0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.198890,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.205671,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,-0.00,0.01,0.01,142,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.212498,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.219381,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.226193,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.232908,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.239717,In0: -0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,0.00,0.01,0.01,142,PSI:-0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.246525,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.253269,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,-0.00,0.01,0.01,142,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.260202,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.266854,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.273720,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.280475,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.287276,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.294207,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.300950,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.307819,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.314540,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.321299,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.328171,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.334892,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.341745,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.348478,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.355274,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.362211,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.368907,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.375742,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.382517,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.389373,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,-0.00,0.01,0.01,142,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.396079,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,0.00,-0.00,0.01,0.01,166,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.402982,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.409764,In0: 0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,0.00,0.01,0.01,142,PSI:0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.416438,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.423322,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,0.00,-0.00,0.01,0.01,166,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.430233,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.436867,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
