UTC 2023-10-06 06:15:19.251133,In0_1: 0.19	 In1_1: -0.19	 FPS: 142,0.19,-0.19,142,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.258029,In0: 5.25	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.25,5.44,0.19,0.19,166,PSI:1.05,PSI:1.088,PSI:0.038,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:15:19.264751,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.37,0.00,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.271485,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.00,0.00,142,PSI:1.012,PSI:1.2,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.278347,In0: 5.25	 In1: 8.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,8.44,-0.19,0.00,142,PSI:1.05,PSI:1.688,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.285046,In0: 5.06	 In1: 8.44	 In0_1: 0.56	 In1_1: 0.19	 FPS: 166,5.06,8.44,0.56,0.19,166,PSI:1.012,PSI:1.688,PSI:0.11200000000000002,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:15:19.291903,In0: 5.06	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.69,0.00,0.00,166,PSI:1.012,PSI:1.538,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.298623,In0: 5.25	 In1: 8.06	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.25,8.06,0.37,0.19,142,PSI:1.05,PSI:1.612,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.305342,In0: 5.25	 In1: 8.25	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.25,8.25,0.37,0.19,142,PSI:1.05,PSI:1.65,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.312181,In0: 5.25	 In1: 8.63	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,8.63,0.37,0.00,142,PSI:1.05,PSI:1.7260000000000002,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.318918,In0: 5.25	 In1: 7.87	 In0_1: 0.75	 In1_1: 0.00	 FPS: 166,5.25,7.87,0.75,0.00,166,PSI:1.05,PSI:1.574,PSI:0.15,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.325800,In0: 5.06	 In1: 8.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,8.44,0.37,0.00,142,PSI:1.012,PSI:1.688,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.332505,In0: 5.44	 In1: 8.25	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.44,8.25,0.19,0.19,142,PSI:1.088,PSI:1.65,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.339250,In0: 5.25	 In1: 9.00	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.25,9.00,0.19,-0.19,142,PSI:1.05,PSI:1.8,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.346027,In0: 4.87	 In1: 7.50	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,4.87,7.50,0.37,0.00,166,PSI:0.974,PSI:1.5,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.352918,In0: 5.25	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,7.31,0.19,0.00,166,PSI:1.05,PSI:1.462,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.359815,In0: 5.06	 In1: 8.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,8.44,0.37,0.00,142,PSI:1.012,PSI:1.688,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.366463,In0: 5.44	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,7.31,0.19,0.00,142,PSI:1.088,PSI:1.462,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.373208,In0: 4.87	 In1: 7.12	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,4.87,7.12,0.37,-0.19,142,PSI:0.974,PSI:1.424,PSI:0.074,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.380062,In0: 5.06	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,7.12,0.19,0.00,166,PSI:1.012,PSI:1.424,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.386724,In0: 5.44	 In1: 7.31	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.44,7.31,0.37,0.19,142,PSI:1.088,PSI:1.462,PSI:0.074,PSI:0.038,PSI:28.4
