UTC 2023-10-06 05:59:12.159476,In0: 5.06	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:12.166285,In0: 5.06	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,5.81,0.00,0.00,166
UTC 2023-10-06 05:59:12.172997,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.81,0.00,0.00,166
UTC 2023-10-06 05:59:12.179858,In0: 5.44	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.44,6.37,0.00,0.19,142
UTC 2023-10-06 05:59:12.186622,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:12.193279,In0: 5.25	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:12.200100,In0: 5.25	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,6.56,0.19,0.00,166
UTC 2023-10-06 05:59:12.206870,In0: 5.06	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.19,0.00,0.00,142
UTC 2023-10-06 05:59:12.213717,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,7.31,0.00,-0.19,142
UTC 2023-10-06 05:59:12.220454,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.227129,In0: 5.06	 In1: 7.87	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,7.87,0.00,-0.19,166
UTC 2023-10-06 05:59:12.234078,In0: 5.44	 In1: 8.81	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.44,8.81,-0.19,0.00,166
UTC 2023-10-06 05:59:12.240740,In0: 5.06	 In1: 8.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,8.25,0.00,0.00,142
UTC 2023-10-06 05:59:12.247649,In0: 5.25	 In1: 7.50	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,7.50,0.19,0.19,142
UTC 2023-10-06 05:59:12.254366,In0: 5.44	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.261138,In0: 5.25	 In1: 7.50	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,7.50,0.19,0.00,166
UTC 2023-10-06 05:59:12.268090,In0: 5.44	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.75,0.00,0.00,142
UTC 2023-10-06 05:59:12.274618,In0: 5.06	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.69,0.19,0.00,142
UTC 2023-10-06 05:59:12.281525,In0: 5.25	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.00,0.00,142
UTC 2023-10-06 05:59:12.288130,In0: 5.25	 In1: 8.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.81,0.00,0.00,166
UTC 2023-10-06 05:59:12.295089,In0: 5.25	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,7.69,0.00,0.00,166
UTC 2023-10-06 05:59:12.301707,In0: 5.06	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.50,0.00,0.00,142
UTC 2023-10-06 05:59:12.308515,In0: 5.25	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.50,0.00,0.00,142
UTC 2023-10-06 05:59:12.315336,In0: 5.06	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.94,0.00,0.00,142
UTC 2023-10-06 05:59:12.322191,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.25,7.31,0.00,-0.19,166
UTC 2023-10-06 05:59:12.328888,In0: 5.25	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.335601,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.342338,In0: 5.06	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,8.06,0.00,0.00,142
UTC 2023-10-06 05:59:12.349201,In0: 5.25	 In1: 9.00	 In0_1: -0.19	 In1_1: -0.19	 FPS: 166,5.25,9.00,-0.19,-0.19,166
UTC 2023-10-06 05:59:12.355932,In0: 5.06	 In1: 7.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.87,0.00,0.00,166
UTC 2023-10-06 05:59:12.362921,In0: 5.06	 In1: 8.25	 In0_1: -0.19	 In1_1: -0.37	 FPS: 142,5.06,8.25,-0.19,-0.37,142
UTC 2023-10-06 05:59:12.369581,In0: 5.25	 In1: 8.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.25,0.00,0.00,142
UTC 2023-10-06 05:59:12.376343,In0: 4.69	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,7.50,0.00,0.00,142
UTC 2023-10-06 05:59:12.383164,In0: 5.44	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,7.31,0.00,0.00,166
UTC 2023-10-06 05:59:12.389969,In0: 5.25	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.396790,In0: 5.25	 In1: 8.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.25,0.00,0.00,142
UTC 2023-10-06 05:59:12.403448,In0: 5.25	 In1: 7.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,7.50,0.00,-0.19,142
UTC 2023-10-06 05:59:12.410209,In0: 5.06	 In1: 7.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,-0.19,0.00,142
UTC 2023-10-06 05:59:12.417016,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.06,0.00,0.00,166
UTC 2023-10-06 05:59:12.423801,In0: 5.44	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.44,7.69,0.19,0.19,142
UTC 2023-10-06 05:59:12.430738,In0: 5.25	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.437568,In0: 5.25	 In1: 8.06	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.19,0.00,142
UTC 2023-10-06 05:59:12.444324,In0: 5.25	 In1: 8.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.81,0.00,0.00,166
UTC 2023-10-06 05:59:12.450967,In0: 5.06	 In1: 7.69	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,7.69,0.00,-0.19,142
UTC 2023-10-06 05:59:12.457958,In0: 5.25	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,7.12,0.00,0.19,142
UTC 2023-10-06 05:59:12.464604,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.471474,In0: 5.25	 In1: 6.94	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.25,6.94,-0.19,-0.19,142
UTC 2023-10-06 05:59:12.478371,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.31,0.00,0.00,166
UTC 2023-10-06 05:59:12.485046,In0: 5.06	 In1: 7.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,0.19,0.00,142
UTC 2023-10-06 05:59:12.491714,In0: 5.06	 In1: 8.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,8.06,-0.19,0.00,142
UTC 2023-10-06 05:59:12.498814,In0: 5.44	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.505149,In0: 4.87	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,7.12,0.19,0.00,166
UTC 2023-10-06 05:59:12.512388,In0: 5.25	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,7.50,0.00,0.00,166
UTC 2023-10-06 05:59:12.518709,In0: 5.06	 In1: 7.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,-0.19,0.00,142
UTC 2023-10-06 05:59:12.525703,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.00,0.00,142
UTC 2023-10-06 05:59:12.532585,In0: 5.06	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.539330,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.25,8.06,0.00,-0.19,166
UTC 2023-10-06 05:59:12.549064,In0: 5.25	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,6.75,0.00,0.19,142
UTC 2023-10-06 05:59:12.552755,In0: 5.06	 In1: 8.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,8.44,-0.19,0.00,142
UTC 2023-10-06 05:59:12.559492,In0: 5.06	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.566237,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.572950,In0: 5.06	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,6.75,0.00,0.00,166
UTC 2023-10-06 05:59:12.579885,In0: 5.44	 In1: 7.50	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.44,7.50,-0.19,-0.19,142
UTC 2023-10-06 05:59:12.586598,In0: 5.25	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.19,0.00,142
