UTC 2023-10-06 06:20:03.384053,In0: 5.44	 In1: 5.25	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.44,5.25,0.56,-0.19,142,PSI:1.088,PSI:1.05,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:20:03.390507,In0: 5.06	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,5.62,0.00,0.00,166,PSI:1.012,PSI:1.124,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.398131,In0: 5.06	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,5.44,0.19,0.19,142,PSI:1.012,PSI:1.088,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.404058,In0: 5.44	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.44,5.44,0.56,0.00,142,PSI:1.088,PSI:1.088,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.410231,In0: 5.25	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.19,0.00,142,PSI:1.05,PSI:1.088,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.417316,In0: 5.06	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.19	 FPS: 166,5.06,5.62,0.37,0.19,166,PSI:1.012,PSI:1.124,PSI:0.074,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:20:03.423736,In0: 5.06	 In1: 5.25	 In0_1: 0.56	 In1_1: 0.19	 FPS: 166,5.06,5.25,0.56,0.19,166,PSI:1.012,PSI:1.05,PSI:0.11200000000000002,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:20:03.430496,In0: 5.25	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.37,0.00,142,PSI:1.05,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.437159,In0: 5.25	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.19,0.00,142,PSI:1.05,PSI:1.088,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.443941,In0: 5.06	 In1: 5.25	 In0_1: 0.75	 In1_1: 0.00	 FPS: 142,5.06,5.25,0.75,0.00,142,PSI:1.012,PSI:1.05,PSI:0.15,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.450881,In0: 5.06	 In1: 5.44	 In0_1: 0.75	 In1_1: 0.00	 FPS: 166,5.06,5.44,0.75,0.00,166,PSI:1.012,PSI:1.088,PSI:0.15,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.457566,In0: 5.06	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.19,0.19,142,PSI:1.012,PSI:1.05,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.464358,In0: 5.25	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.00,0.00,142,PSI:1.05,PSI:1.124,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.471154,In0: 5.06	 In1: 5.25	 In0_1: 0.56	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.56,0.19,142,PSI:1.012,PSI:1.05,PSI:0.11200000000000002,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.477921,In0: 5.44	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.44,7.12,0.19,0.00,166,PSI:1.088,PSI:1.424,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.484726,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142,PSI:1.012,PSI:1.462,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.491419,In0: 5.25	 In1: 6.75	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.56,0.00,142,PSI:1.05,PSI:1.35,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
