UTC 2023-10-06 01:06:25.099435,In0_1: 560.06	 In1_1: 555.94	 FPS: 142,560.06,555.94,142
UTC 2023-10-06 01:06:25.104685,In0: -0.37	 In1: -1.50	 In0_1: 558.94	 In1_1: 558.56	 FPS: 142,-0.37,-1.50,558.94,558.56,142
UTC 2023-10-06 01:06:25.111429,In0: -0.56	 In1: -2.06	 In0_1: 559.50	 In1_1: 558.37	 FPS: 166,-0.56,-2.06,559.50,558.37,166
UTC 2023-10-06 01:06:25.118182,In0: -1.50	 In1: 0.19	 In0_1: 558.56	 In1_1: 554.62	 FPS: 142,-1.50,0.19,558.56,554.62,142
UTC 2023-10-06 01:06:25.125045,In0: -2.44	 In1: -2.81	 In0_1: 554.06	 In1_1: 555.94	 FPS: 142,-2.44,-2.81,554.06,555.94,142
UTC 2023-10-06 01:06:25.131748,In0: 0.37	 In1: -1.50	 In0_1: 564.94	 In1_1: 562.50	 FPS: 142,0.37,-1.50,564.94,562.50,142
UTC 2023-10-06 01:06:25.138655,In0: -1.87	 In1: -0.75	 In0_1: 560.44	 In1_1: 559.31	 FPS: 142,-1.87,-0.75,560.44,559.31,142
UTC 2023-10-06 01:06:25.145433,In0: -1.31	 In1: -2.44	 In0_1: 562.12	 In1_1: 558.37	 FPS: 166,-1.31,-2.44,562.12,558.37,166
UTC 2023-10-06 01:06:25.152244,In0: -2.06	 In1: -0.19	 In0_1: 561.94	 In1_1: 562.31	 FPS: 142,-2.06,-0.19,561.94,562.31,142
UTC 2023-10-06 01:06:25.159081,In0: -2.06	 In1: -2.25	 In0_1: 562.12	 In1_1: 559.31	 FPS: 142,-2.06,-2.25,562.12,559.31,142
UTC 2023-10-06 01:06:25.165733,In0: -1.50	 In1: -1.50	 In0_1: 560.44	 In1_1: 559.31	 FPS: 142,-1.50,-1.50,560.44,559.31,142
UTC 2023-10-06 01:06:25.172637,In0: 0.00	 In1: -1.87	 In0_1: 559.31	 In1_1: 554.81	 FPS: 142,0.00,-1.87,559.31,554.81,142
UTC 2023-10-06 01:06:25.179368,In0: -1.69	 In1: -3.00	 In0_1: 562.12	 In1_1: 556.69	 FPS: 166,-1.69,-3.00,562.12,556.69,166
UTC 2023-10-06 01:06:25.186288,In0: -1.69	 In1: -1.69	 In0_1: 565.31	 In1_1: 558.56	 FPS: 142,-1.69,-1.69,565.31,558.56,142
UTC 2023-10-06 01:06:25.193012,In0: -1.87	 In1: -0.19	 In0_1: 558.37	 In1_1: 562.87	 FPS: 142,-1.87,-0.19,558.37,562.87,142
UTC 2023-10-06 01:06:25.199749,In0: -1.87	 In1: -0.75	 In0_1: 555.56	 In1_1: 552.56	 FPS: 142,-1.87,-0.75,555.56,552.56,142
UTC 2023-10-06 01:06:25.206618,In0: -1.31	 In1: -2.62	 In0_1: 554.25	 In1_1: 559.31	 FPS: 142,-1.31,-2.62,554.25,559.31,142
UTC 2023-10-06 01:06:25.213387,In0: -3.00	 In1: -1.50	 In0_1: 562.12	 In1_1: 562.31	 FPS: 166,-3.00,-1.50,562.12,562.31,166
UTC 2023-10-06 01:06:25.220284,In0: -2.25	 In1: -2.44	 In0_1: 556.12	 In1_1: 562.31	 FPS: 142,-2.25,-2.44,556.12,562.31,142
UTC 2023-10-06 01:06:25.227016,In0: -0.94	 In1: -2.25	 In0_1: 560.81	 In1_1: 559.50	 FPS: 142,-0.94,-2.25,560.81,559.50,142
UTC 2023-10-06 01:06:25.233860,In0: -0.94	 In1: -1.69	 In0_1: 555.00	 In1_1: 555.37	 FPS: 142,-0.94,-1.69,555.00,555.37,142
UTC 2023-10-06 01:06:25.240698,In0: -2.44	 In1: -0.19	 In0_1: 561.37	 In1_1: 558.94	 FPS: 142,-2.44,-0.19,561.37,558.94,142
UTC 2023-10-06 01:06:25.247454,In0: -2.44	 In1: -3.00	 In0_1: 556.50	 In1_1: 555.56	 FPS: 166,-2.44,-3.00,556.50,555.56,166
UTC 2023-10-06 01:06:25.254409,In0: -2.06	 In1: -3.00	 In0_1: 559.87	 In1_1: 552.37	 FPS: 142,-2.06,-3.00,559.87,552.37,142
UTC 2023-10-06 01:06:25.261055,In0: -0.75	 In1: -1.87	 In0_1: 559.31	 In1_1: 558.19	 FPS: 142,-0.75,-1.87,559.31,558.19,142
