UTC 2023-10-06 01:06:27.111843,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112104,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112272,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112440,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112591,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112740,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.112895,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113050,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113197,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113345,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113497,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113645,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113793,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.113939,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114089,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114236,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114380,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114524,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114679,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114827,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.114973,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115117,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115268,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115414,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115561,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115712,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.115860,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116006,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116153,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116305,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116451,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116596,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.116740,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
