UTC 2023-10-06 04:48:15.615640,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.69,0.00,0.19,142
UTC 2023-10-06 04:48:15.622387,In0: 5.06	 In1: 539.06	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.06,539.06,-0.19,-0.19,142
UTC 2023-10-06 04:48:15.629173,In0: 4.87	 In1: 536.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,536.81,0.19,0.00,142
UTC 2023-10-06 04:48:15.635948,In0: 4.87	 In1: 536.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,536.81,0.00,0.00,142
UTC 2023-10-06 04:48:15.642790,In0: 4.87	 In1: 536.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,4.87,536.81,0.00,-0.19,166
UTC 2023-10-06 04:48:15.649465,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,539.06,0.00,-0.19,142
UTC 2023-10-06 04:48:15.656290,In0: 5.06	 In1: 538.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,538.50,0.00,-0.19,142
UTC 2023-10-06 04:48:15.663158,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:15.669840,In0: 4.87	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,538.69,0.00,0.00,166
UTC 2023-10-06 04:48:15.676799,In0: 4.87	 In1: 538.69	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,4.87,538.69,0.19,0.19,166
UTC 2023-10-06 04:48:15.683412,In0: 4.87	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,537.94,0.00,0.00,142
UTC 2023-10-06 04:48:15.690256,In0: 4.87	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,537.00,0.00,0.19,142
UTC 2023-10-06 04:48:15.697096,In0: 5.06	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.50,0.00,0.00,142
UTC 2023-10-06 04:48:15.703793,In0: 5.25	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,538.31,0.00,0.00,166
UTC 2023-10-06 04:48:15.710637,In0: 5.25	 In1: 537.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,537.37,0.00,-0.19,142
UTC 2023-10-06 04:48:15.717348,In0: 5.06	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.50,0.00,0.19,142
UTC 2023-10-06 04:48:15.724170,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:15.730871,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,538.69,0.00,0.00,166
UTC 2023-10-06 04:48:15.737620,In0: 5.06	 In1: 537.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,537.75,0.19,0.00,166
UTC 2023-10-06 04:48:15.744751,In0: 5.25	 In1: 538.50	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,538.50,-0.19,0.00,142
UTC 2023-10-06 04:48:15.751319,In0: 5.25	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:15.758273,In0: 5.25	 In1: 537.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,537.56,-0.19,0.00,142
UTC 2023-10-06 04:48:15.764784,In0: 5.25	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,537.94,0.00,0.00,166
UTC 2023-10-06 04:48:15.771585,In0: 5.06	 In1: 539.25	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,539.25,-0.19,0.00,142
UTC 2023-10-06 04:48:15.778503,In0: 5.25	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:15.785100,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:48:15.791992,In0: 4.87	 In1: 537.19	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,537.19,0.19,0.00,142
UTC 2023-10-06 04:48:15.798701,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,539.06,0.00,0.00,166
UTC 2023-10-06 04:48:15.805545,In0: 5.06	 In1: 537.94	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,537.94,0.19,0.19,142
UTC 2023-10-06 04:48:15.812435,In0: 5.25	 In1: 539.25	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,539.25,0.00,-0.19,142
UTC 2023-10-06 04:48:15.819049,In0: 5.25	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.37,0.00,0.00,142
UTC 2023-10-06 04:48:15.826141,In0: 4.87	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,538.12,0.00,0.00,166
UTC 2023-10-06 04:48:15.832661,In0: 5.25	 In1: 536.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,536.81,0.00,0.00,142
UTC 2023-10-06 04:48:15.839409,In0: 5.25	 In1: 538.87	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.25,538.87,0.19,-0.19,142
UTC 2023-10-06 04:48:15.846342,In0: 4.87	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:15.852975,In0: 5.25	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:15.859976,In0: 5.06	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,537.94,0.00,0.00,166
UTC 2023-10-06 04:48:15.866604,In0: 4.87	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,537.94,0.00,0.00,142
UTC 2023-10-06 04:48:15.873226,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,537.75,0.00,0.19,142
UTC 2023-10-06 04:48:15.880111,In0: 5.06	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.31,0.00,0.19,142
UTC 2023-10-06 04:48:15.886888,In0: 5.44	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,538.50,0.00,0.00,166
